ranking,popularity,num_scoring_users,rank,num_episodes,rating,title,average_episode_duration,source,media_type,id,status,num_list_users,mean,nsfw,start_year
{'rank': 5951},8962,1354,5951,1,manga,Edens Zero (Recap Movie),4290,manga,ona,54917,finished_airing,4804,6.68,white,2023.0
{'rank': 5952},11733,586,5952,1,original,Flag Director's Edition: Issenman no Kufura no Kiroku,6000,original,ova,5136,finished_airing,2025,6.68,white,2007.0
{'rank': 5953},7273,2864,5953,4,manga,Genshiken Nidaime Specials,234,manga,special,19889,finished_airing,8154,6.68,white,2013.0
{'rank': 5954},5049,10098,5954,2,original,Girls & Panzer: Shoukai Shimasu!,1400,original,tv_special,16199,finished_airing,20173,6.68,white,2012.0
{'rank': 5955},3041,26006,5955,12,manga,Grenadier: Hohoemi no Senshi,1453,manga,tv,297,finished_airing,57494,6.68,white,2004.0
{'rank': 5956},4698,7692,5956,3,manga,Haikyuu!! Quest Picture Drama,240,manga,ova,31675,finished_airing,23961,6.68,white,2014.0
{'rank': 5957},4150,14130,5957,10,original,Hand Maid May,1380,original,tv,318,finished_airing,31450,6.68,gray,2000.0
{'rank': 5958},7158,2750,5958,1,visual_novel,Hiiro no Kakera: Totsugeki! Tonari no Ikemenzu,681,visual_novel,ova,16928,finished_airing,8498,6.68,white,2013.0
{'rank': 5959},4263,12392,5959,3,manga,Hiyokoi (2012),90,manga,special,15895,finished_airing,29558,6.68,white,2012.0
{'rank': 5960},1383,91110,5960,12,visual_novel,Hoshizora e Kakaru Hashi,1500,visual_novel,tv,10079,finished_airing,180797,6.68,white,2011.0
{'rank': 5961},12356,380,5961,41,original,Hua Jianghu: Ling Zhu,1160,original,ona,33305,finished_airing,1653,6.68,white,2015.0
{'rank': 5962},8207,1908,5962,12,manga,Shin Chuuka Ichiban! 2nd Season,1440,manga,tv,40957,finished_airing,5997,6.68,white,2021.0
{'rank': 5963},10728,1342,5963,130,novel,Spoon Obasan,600,novel,tv,2612,finished_airing,2738,6.68,white,1983.0
{'rank': 5964},3783,14855,5964,1,manga,Spriggan,5431,manga,movie,420,finished_airing,38310,6.68,white,1998.0
{'rank': 5965},14236,171,5965,1,other,Sumikko Gurashi Movie 2: Aoi Tsukiyo no Mahou no Ko,3853,other,movie,43780,finished_airing,960,6.68,white,2021.0
{'rank': 5966},1320,96216,5966,12,light_novel,Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,1420,light_novel,tv,52608,finished_airing,190433,6.68,white,2023.0
{'rank': 5967},12249,659,5967,52,manga,The Marshmallow Times,1465,manga,tv,7955,finished_airing,1706,6.68,white,2004.0
{'rank': 5968},5035,8715,5968,2,manga,Tokyo Babylon,3000,manga,ova,1043,finished_airing,20339,6.68,white,1992.0
{'rank': 5969},5234,4633,5969,13,mixed_media,Tsukipro The Animation,1420,mixed_media,tv,34474,finished_airing,18424,6.68,white,2017.0
{'rank': 5970},6424,4350,5970,12,original,Viper's Creed,1395,original,tv,5505,finished_airing,10941,6.68,white,2009.0
{'rank': 5971},3033,20919,5971,12,manga,Watashi no Yuri wa Oshigoto desu!,1420,manga,tv,51817,finished_airing,57856,6.68,gray,2023.0
{'rank': 5972},5091,7776,5972,25,original,Weiß Kreuz,1400,original,tv,447,finished_airing,19745,6.68,white,1998.0
{'rank': 5973},10275,1033,5973,1,original,Xiyou Ji: Dasheng Guilai,5254,original,movie,32534,finished_airing,3111,6.68,white,2015.0
{'rank': 5974},15323,182,5974,10,web_manga,Yeon-aejehanguyeog,300,web_manga,ona,58783,finished_airing,699,6.68,gray,2023.0
{'rank': 5975},15027,224,5975,12,novel,Yi Ren Jun Moye,1468,novel,ona,57656,finished_airing,762,6.68,white,2024.0
{'rank': 5976},15547,152,5976,13,other,Jiuzhou Piaomiao Lu,1219,other,ona,51207,finished_airing,659,6.68,white,2023.0
{'rank': 5977},5588,5642,5977,2,novel,Joker Game: Kuroneko Yoru no Bouken,285,novel,special,33129,finished_airing,15457,6.68,white,2016.0
{'rank': 5978},3844,14070,5978,3,manga,Kakegurui Picture Drama,152,manga,special,38939,finished_airing,36903,6.68,white,2017.0
{'rank': 5980},10496,938,5980,16,original,Kitty's Paradise,1200,original,tv,4023,finished_airing,2928,6.68,white,1999.0
{'rank': 5981},11454,1166,5981,55,source_inconnue,Konchuu Monogatari Minashigo Hutch (1989),1500,source_inconnue,tv,8140,finished_airing,2200,6.68,white,1989.0
{'rank': 5982},7353,1745,5982,26,source_inconnue,Koukaku Kidoutai Nyuumon Arise,240,source_inconnue,tv,22013,finished_airing,7894,6.68,white,2014.0
{'rank': 5983},2993,22319,5983,12,card_game,Lostorage Incited WIXOSS,1422,card_game,tv,33197,finished_airing,59061,6.68,white,2016.0
{'rank': 5984},10920,886,5984,13,original,Lu Shidai 2nd Season,720,original,ona,32543,finished_airing,2575,6.68,white,2014.0
{'rank': 5985},1720,44145,5985,13,manga,Mahouka Koukou no Yuutousei,1432,manga,tv,45572,finished_airing,138876,6.68,white,2021.0
{'rank': 5986},9111,1707,5986,1,manga,Maison Ikkoku: Prelude - Meguru Haru no Sakura no You ni...,1620,manga,special,3484,finished_airing,4575,6.68,white,1992.0
{'rank': 5987},1818,35829,5987,10,card_game,Manaria Friends,849,card_game,tv,31537,finished_airing,128560,6.68,white,2019.0
{'rank': 5988},412,291957,5988,12,light_novel,Netoge no Yome wa Onnanoko ja Nai to Omotta?,1440,light_novel,tv,31404,finished_airing,563891,6.68,white,2016.0
{'rank': 5989},14007,268,5989,1,novel,Nihon Chinbotsu 2020 Gekijou Henshuuban: Shizumanu Kibou,9060,novel,movie,44585,finished_airing,1020,6.68,white,2020.0
{'rank': 5990},10642,983,5990,3,4_koma_manga,Nijiyon Animation Specials,210,4_koma_manga,special,54117,finished_airing,2812,6.68,white,2023.0
{'rank': 5991},6078,5348,5991,2,manga,Nurarihyon no Mago: Sennen Makyou Recaps,1419,manga,tv_special,11083,finished_airing,12529,6.68,white,2011.0
{'rank': 5992},3230,15160,5992,11,original,Ooyukiumi no Kaina,1370,original,tv,50864,finished_airing,51086,6.68,gray,2023.0
{'rank': 5993},11726,1136,5993,78,source_inconnue,Oscar's Oasis,480,source_inconnue,tv,33430,finished_airing,2031,6.68,white,2011.0
{'rank': 5994},5265,6792,5994,22,manga,Penguin Musume♥Heart,714,manga,ona,4136,finished_airing,18130,6.68,white,2008.0
{'rank': 5995},10984,592,5995,1,game,Pretty Rhythm Movie: All Star Selection - Prism Show☆Best Ten,2906,game,movie,21707,finished_airing,2526,6.68,white,2014.0
